131-200 서울 중랑구 면목동   7934
131-201 서울 중랑구 면목본동   7933
131-202 서울 중랑구 면목2동   7836
131-203 서울 중랑구 면목3.8동   7860
131-204 서울 중랑구 면목4동   7879
131-205 서울 중랑구 면목5동   7884
131-207 서울 중랑구 면목7동   7910
131-702 서울 중랑구 면목3.8동 서일대학  7837
131-751 서울 중랑구 면목2동 면목한신아파트 (1∼10동) 7824
131-752 서울 중랑구 면목7동 현대아파트  7887
131-753 서울 중랑구 면목4동 도시개발아파트  7863
131-754 서울 중랑구 면목3.8동 용마한신아파트 (101∼104동) 7839
131-755 서울 중랑구 면목7동 두산아파트  7886
131-756 서울 중랑구 면목3.8동 용마금호아파트 (101∼105동) 7838
131-758 서울 중랑구 면목본동 아남리치카운티아파트 (101∼105동) 7911
131-759 서울 중랑구 면목4동 늘푸른동아아파트  7862
131-760 서울 중랑구 면목7동 대원칸타빌아파트  7885
131-777 서울 중랑구 면목4동 경남아파트  7861
131-811 서울 중랑구 면목3.8동  1517 7857
131-811 서울 중랑구 면목3.8동  1∼49 7840
131-812 서울 중랑구 면목3.8동  480∼495 7845
131-812 서울 중랑구 면목3.8동  50∼57 7841
131-812 서울 중랑구 면목3.8동  511∼517 7848
131-812 서울 중랑구 면목3.8동  77∼83 7843
131-812 서울 중랑구 면목3.8동  산1∼33 7858
131-813 서울 중랑구 면목3.8동  428∼479 7844
131-813 서울 중랑구 면목3.8동  58∼60 7842
131-814 서울 중랑구 면목본동  109∼114 7918
131-814 서울 중랑구 면목본동  402∼413 7924
131-814 서울 중랑구 면목본동  61∼67 7912
131-815 서울 중랑구 면목본동  104∼108 7917
131-815 서울 중랑구 면목본동  1112∼1216 7928
131-815 서울 중랑구 면목본동  1322 7930
131-815 서울 중랑구 면목본동  290∼324 7922
131-815 서울 중랑구 면목본동  359∼360 7923
131-815 서울 중랑구 면목본동  68∼72 7913
131-816 서울 중랑구 면목본동  119∼130 7920
131-816 서울 중랑구 면목본동  74 7914
131-816 서울 중랑구 면목본동  98∼103 7916
131-817 서울 중랑구 면목본동  1232∼1297 7929
131-817 서울 중랑구 면목본동  200∼240 7921
131-817 서울 중랑구 면목본동  86∼97 7915
131-818 서울 중랑구 면목본동  115∼118 7919
131-818 서울 중랑구 면목본동  1531 7932
131-818 서울 중랑구 면목본동  500∼506 7925
131-818 서울 중랑구 면목본동  538∼558 7926
131-819 서울 중랑구 면목2동  131∼142 7825
131-820 서울 중랑구 면목2동  143∼148 7826
131-820 서울 중랑구 면목2동  1523 7834
131-820 서울 중랑구 면목2동  1532 7835
131-820 서울 중랑구 면목2동  176∼180 7827
131-821 서울 중랑구 면목5동  149∼165 7880
131-822 서울 중랑구 면목5동  1518 7883
131-822 서울 중랑구 면목5동  166∼175 7881
131-822 서울 중랑구 면목5동  194 7882
131-823 서울 중랑구 면목2동  1514 7832
131-823 서울 중랑구 면목2동  181∼189 7828
131-823 서울 중랑구 면목2동  198 7830
131-824 서울 중랑구 면목2동  190∼193 7829
131-825 서울 중랑구 면목7동  339∼345 7888
131-826 서울 중랑구 면목4동  346∼350 7864
131-826 서울 중랑구 면목4동  368∼371 7866
131-826 서울 중랑구 면목4동  639∼646 7870
131-827 서울 중랑구 면목7동  351∼355 7889
131-827 서울 중랑구 면목7동  651∼673 7896
131-828 서울 중랑구 면목7동  361∼364 7890
131-828 서울 중랑구 면목7동  610∼637 7894
131-828 서울 중랑구 면목7동  647∼650 7895
131-829 서울 중랑구 면목4동  365∼367 7865
131-829 서울 중랑구 면목4동  392∼399 7868
131-829 서울 중랑구 면목4동  583 7869
131-830 서울 중랑구 면목4동  372∼391 7867
131-831 서울 중랑구 면목3.8동  496∼499 7846
131-831 서울 중랑구 면목3.8동  560∼576 7849
131-831 서울 중랑구 면목3.8동  584∼607 7850
131-832 서울 중랑구 면목3.8동  1064∼1083 7852
131-832 서울 중랑구 면목3.8동  1090 7853
131-832 서울 중랑구 면목3.8동  1110 7854
131-832 서울 중랑구 면목3.8동  507∼509 7847
131-832 서울 중랑구 면목3.8동  산34∼45 7859
131-833 서울 중랑구 면목7동  1084∼1089 7897
131-833 서울 중랑구 면목7동  1092∼1109 7898
131-833 서울 중랑구 면목7동  1326 7899
131-833 서울 중랑구 면목7동  1499 7900
131-833 서울 중랑구 면목7동  518∼524 7891
131-834 서울 중랑구 면목7동  525∼536 7892
131-834 서울 중랑구 면목7동  577∼582 7893
131-835 서울 중랑구 면목4동  1516 7876
131-835 서울 중랑구 면목4동  1521 7877
131-835 서울 중랑구 면목4동  699∼799 7871
131-836 서울 중랑구 면목3.8동  1508∼1509 7856
131-836 서울 중랑구 면목3.8동  841∼843 7851
131-837 서울 중랑구 면목본동  1503∼1507 7931
131-837 서울 중랑구 면목본동  887∼968 7927
131-838 서울 중랑구 면목4동  1339∼1381 7872
131-838 서울 중랑구 면목4동  1383∼1498 7874
131-839 서울 중랑구 면목4동  1382 7873
131-839 서울 중랑구 면목4동  산67∼78 7878
131-840 서울 중랑구 면목3.8동  1500 7855
131-841 서울 중랑구 면목7동  1501 7901
131-841 서울 중랑구 면목7동  1511 7904
131-841 서울 중랑구 면목7동  1522 7906
131-842 서울 중랑구 면목7동  1502 7902
131-842 서울 중랑구 면목7동  산46∼66 7909
131-843 서울 중랑구 면목2동  1512 7831
131-843 서울 중랑구 면목2동  1519∼1520 7833
131-844 서울 중랑구 면목4동  1513 7875
131-845 서울 중랑구 면목7동  1515 7905
131-884 서울 중랑구 면목7동  1510 7903
131-885 서울 중랑구 면목7동  1525 7907
131-885 서울 중랑구 면목7동  1528 7908
